"Country or Area","Year","Value"
"China, Hong Kong SAR","2019","49180.0943019454"
"China, Hong Kong SAR","2018","49065.3999509968"
"China, Hong Kong SAR","2017","46705.0278128378"
"China, People's Republic of","2019","10003.5550025643"
"China, People's Republic of","2018","9732.72762533604"
"China, People's Republic of","2017","8663.12574249034"
"India","2019","2116.17738598968"
"India","2018","2050.5497157152"
"India","2017","1961.33802893474"
"Indonesia","2019","4135.56927434869"
"Indonesia","2018","3893.74303079214"
"Indonesia","2017","3837.57811668966"
"Japan","2019","40063.4853523744"
"Japan","2018","38952.2109807289"
"Japan","2017","38170.669761432"
"Nepal","2019","1073.621800587"
"Nepal","2018","995.096981490121"
"Nepal","2017","926.088988363852"
"Pakistan","2019","1186.69208046357"
"Pakistan","2018","1338.97614129858"
"Pakistan","2017","1455.99174182359"
"Republic of Korea","2019","32143.0850115415"
"Republic of Korea","2018","33705.2569425298"
"Republic of Korea","2017","31781.1233196946"

